test,timestamp,vin_set,iload_set_a,vin_meas,iin_meas_a,pin_w,vout_meas,iout_meas_a,pout_w,efficiency,iq_ma
iq,2026-05-29T22:44:13.150578+00:00,6.0000,,5.996400,0.000217321,0.001303143,,,,,0.217321
iq,2026-05-29T22:44:16.302201+00:00,7.0000,,6.995700,0.000185192,0.001295546,,,,,0.185192
iq,2026-05-29T22:44:19.563552+00:00,8.0000,,7.995600,0.000177750,0.001421214,,,,,0.177750
iq,2026-05-29T22:44:22.824654+00:00,9.0000,,8.995000,0.000163584,0.001471435,,,,,0.163584
iq,2026-05-29T22:44:26.084512+00:00,10.0000,,9.995000,0.000157215,0.001571362,,,,,0.157215
iq,2026-05-29T22:44:29.337589+00:00,11.0000,,10.995500,0.000140961,0.001549939,,,,,0.140961
iq,2026-05-29T22:44:32.865784+00:00,12.0000,,11.995200,0.000142428,0.001708451,,,,,0.142428
iq,2026-05-29T22:44:36.271188+00:00,13.0000,,12.995200,0.000149959,0.001948744,,,,,0.149959
iq,2026-05-29T22:44:40.335086+00:00,14.0000,,13.994900,0.000143597,0.002009627,,,,,0.143597
iq,2026-05-29T22:44:44.558894+00:00,15.0000,,14.994500,0.000114760,0.001720765,,,,,0.114760
iq,2026-05-29T22:44:49.512086+00:00,16.0000,,15.996200,0.000133264,0.002131715,,,,,0.133264
iq,2026-05-29T22:44:52.873727+00:00,17.0000,,16.996700,0.000078306,0.001330938,,,,,0.078306
iq,2026-05-29T22:44:56.259973+00:00,18.0000,,17.995200,0.000081441,0.001465541,,,,,0.081441
efficiency,2026-05-29T22:45:05.360682+00:00,8.0000,0.0100,7.9960,0.007988,0.063873,4.9250,0.010200,0.050235,0.786486,
efficiency,2026-05-29T22:45:08.565360+00:00,8.0000,0.0200,7.9960,0.014549,0.116337,4.9247,0.020100,0.098986,0.850860,
efficiency,2026-05-29T22:45:11.815149+00:00,8.0000,0.0500,7.9959,0.034000,0.271859,4.9267,0.049900,0.245842,0.904301,
efficiency,2026-05-29T22:45:15.082044+00:00,8.0000,0.1000,7.9959,0.067185,0.537208,4.9187,0.099600,0.489903,0.911942,
efficiency,2026-05-29T22:45:18.360333+00:00,8.0000,0.2000,7.9958,0.131403,1.050676,4.9051,0.199600,0.979058,0.931837,
efficiency,2026-05-29T22:45:21.581239+00:00,8.0000,0.5000,7.9958,0.333731,2.668448,4.8645,0.499700,2.430791,0.910938,
efficiency,2026-05-29T22:45:24.830984+00:00,8.0000,1.0000,7.9959,0.693077,5.541776,4.8004,0.999700,4.798960,0.865961,
efficiency,2026-05-29T22:45:30.389020+00:00,10.0000,0.0100,9.9954,0.006537,0.065336,4.9355,0.010200,0.050342,0.770517,
efficiency,2026-05-29T22:45:33.596947+00:00,10.0000,0.0200,9.9953,0.011877,0.118717,4.9337,0.020100,0.099167,0.835324,
efficiency,2026-05-29T22:45:36.846427+00:00,10.0000,0.0500,9.9953,0.027895,0.278817,4.9324,0.049900,0.246127,0.882755,
efficiency,2026-05-29T22:45:40.112560+00:00,10.0000,0.1000,9.9953,0.054320,0.542946,4.9423,0.099600,0.492253,0.906634,
efficiency,2026-05-29T22:45:43.362990+00:00,10.0000,0.2000,9.9953,0.109237,1.091853,4.9281,0.199600,0.983649,0.900899,
efficiency,2026-05-29T22:45:46.658563+00:00,10.0000,0.5000,9.9952,0.268935,2.688060,4.8884,0.499600,2.442245,0.908553,
efficiency,2026-05-29T22:45:49.880012+00:00,10.0000,1.0000,9.9953,0.558421,5.581587,4.8757,0.999700,4.874237,0.873271,
efficiency,2026-05-29T22:45:55.395431+00:00,12.0000,0.0100,11.9954,0.005495,0.065913,4.9527,0.010200,0.050518,0.766424,
efficiency,2026-05-29T22:45:58.662455+00:00,12.0000,0.0200,11.9954,0.009982,0.119744,4.9516,0.020100,0.099527,0.831167,
efficiency,2026-05-29T22:46:01.911392+00:00,12.0000,0.0500,11.9955,0.023433,0.281095,4.9506,0.049900,0.247035,0.878830,
efficiency,2026-05-29T22:46:05.177626+00:00,12.0000,0.1000,11.9955,0.045895,0.550529,4.9511,0.099600,0.493130,0.895738,
efficiency,2026-05-29T22:46:08.469445+00:00,12.0000,0.2000,11.9955,0.092045,1.104128,4.9686,0.199600,0.991733,0.898204,
efficiency,2026-05-29T22:46:11.706005+00:00,12.0000,0.5000,11.9953,0.228866,2.745316,4.9501,0.499700,2.473565,0.901013,
efficiency,2026-05-29T22:46:14.927040+00:00,12.0000,1.0000,11.9953,0.476108,5.711057,4.9120,0.999700,4.910526,0.859828,
efficiency,2026-05-29T22:46:20.443160+00:00,14.0000,0.0100,13.9952,0.004855,0.067951,4.9729,0.010200,0.050724,0.746476,
efficiency,2026-05-29T22:46:23.710034+00:00,14.0000,0.0200,13.9953,0.008781,0.122893,4.9482,0.020100,0.099459,0.809310,
efficiency,2026-05-29T22:46:26.959322+00:00,14.0000,0.0500,13.9953,0.020652,0.289030,4.9669,0.049900,0.247848,0.857517,
efficiency,2026-05-29T22:46:30.226083+00:00,14.0000,0.1000,13.9951,0.040561,0.567658,4.9842,0.099600,0.496426,0.874516,
efficiency,2026-05-29T22:46:33.475771+00:00,14.0000,0.2000,13.9952,0.080665,1.128918,4.9873,0.199600,0.995465,0.881787,
efficiency,2026-05-29T22:46:36.742366+00:00,14.0000,0.5000,13.9953,0.200635,2.807953,5.0262,0.499700,2.511592,0.894457,
efficiency,2026-05-29T22:46:39.992325+00:00,14.0000,1.0000,13.9952,0.409188,5.726664,4.9858,0.999700,4.984304,0.870368,
efficiency,2026-05-29T22:46:45.508198+00:00,16.0000,0.0100,15.9965,0.004387,0.070181,4.9431,0.010200,0.050420,0.718424,
efficiency,2026-05-29T22:46:48.774843+00:00,16.0000,0.0200,15.9967,0.007913,0.126587,4.9976,0.020100,0.100452,0.793541,
efficiency,2026-05-29T22:46:52.024518+00:00,16.0000,0.0500,15.9966,0.018716,0.299395,5.0317,0.049900,0.251082,0.838629,
efficiency,2026-05-29T22:46:55.291364+00:00,16.0000,0.1000,15.9966,0.036694,0.586981,5.0364,0.099600,0.501625,0.854585,
efficiency,2026-05-29T22:46:58.541362+00:00,16.0000,0.2000,15.9965,0.072915,1.166381,5.0380,0.199700,1.006089,0.862573,
efficiency,2026-05-29T22:47:01.807600+00:00,16.0000,0.5000,15.9965,0.182214,2.914785,5.0525,0.499600,2.524229,0.866009,
efficiency,2026-05-29T22:47:05.058259+00:00,16.0000,1.0000,15.9966,0.367477,5.878378,5.0971,0.999700,5.095571,0.866833,
efficiency,2026-05-29T22:47:10.574608+00:00,18.0000,0.0100,17.9955,0.004077,0.073361,5.1363,0.010200,0.052390,0.714144,
efficiency,2026-05-29T22:47:13.841744+00:00,18.0000,0.0200,17.9955,0.007293,0.131235,5.1160,0.020100,0.102832,0.783567,
efficiency,2026-05-29T22:47:17.091131+00:00,18.0000,0.0500,17.9955,0.017198,0.309495,5.0129,0.049900,0.250144,0.808233,
efficiency,2026-05-29T22:47:20.357431+00:00,18.0000,0.1000,17.9955,0.033569,0.604085,5.0791,0.099700,0.506386,0.838270,
efficiency,2026-05-29T22:47:23.607085+00:00,18.0000,0.2000,17.9955,0.066921,1.204274,5.1099,0.199600,1.019936,0.846930,
efficiency,2026-05-29T22:47:26.874105+00:00,18.0000,0.5000,17.9955,0.177408,3.192542,5.1940,0.499600,2.594922,0.812808,
efficiency,2026-05-29T22:47:30.123541+00:00,18.0000,1.0000,17.9955,0.359088,6.461967,5.2015,0.999700,5.199940,0.804699,
